cocktail_name,Black Russian,Bloody Mary,Blue Hawaii,Brave Bull,Brooklyn,Cherry Blossom,Chi-Chi,Cosmopolitan,Cuba Libre,Dirty Mother,EL Diablo,Earthquake,French Connection,Gin & Tonic,Gin Fizz,Godfather,Harvard Cooler,Havana Beach,Horse’s Neck,Imperial Fizz,John Collins,Long Island Ice Tea,Mai-Tai,Manhattan,Margarita,Martini,Martini Sweet,Miami Beach,Mockingbird,Mojito,Moscow Mule,Negroni,New York,Old Fashioned,Salty Dog,Screwdriver,Sex on the Beach,Sidecar,Silk Stockings,Singapore Sling,Stinger,Tequila Martini,Tequila Sunrise,Tequila Sunset,Tom Collins,Vodka & Tonic,Vodka Gimlet,Zombie
Black Russian,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Mary,8.326672684688678e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Hawaii,-2.775557561562894e-17,1.873501354054953e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brave Bull,3.2612801348363983e-16,-1.2490009027033014e-16,-6.591949208711871e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,-2.42861286636753e-17,1.4398204850607496e-16,6.93889390390723e-17,4.996003610813202e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Blossom,-2.3592239273284596e-16,-1.3183898417423741e-16,2.4980018054066047e-16,2.0469737016526334e-16,9.71445146547012e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi-Chi,-4.163336342344338e-17,-7.979727989493314e-17,1.8041124150158804e-16,2.0816681711721685e-16,-1.899522206194603e-16,2.3592239273284586e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopolitan,-2.914335439641037e-16,-1.665334536937735e-16,3.191891195797327e-16,1.3877787807814457e-17,4.163336342344335e-17,-1.2836953722228377e-16,3.7470027081099033e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba Libre,-1.3877787807814466e-17,-1.8041124150158799e-16,4.44089209850063e-16,-1.1102230246251568e-16,-4.1633363423443364e-17,6.938893903907233e-17,5.551115123125784e-17,-6.505213034913028e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Mother,1.5612511283791266e-16,-8.326672684688674e-17,1.8041124150158799e-16,2.7408630920433547e-16,3.8510861166685093e-16,-4.718447854656916e-16,-2.9143354396410354e-16,8.673617379884033e-17,-4.0939474033052647e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL Diablo,2.636779683484748e-16,-1.5265566588595905e-16,1.8041124150158804e-16,3.122502256758253e-17,-2.498001805406601e-16,0.0,2.7755575615628914e-16,4.440892098500626e-16,8.326672684688677e-17,8.326672684688673e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthquake,6.245004513516508e-17,2.775557561562892e-17,2.775557561562893e-17,-1.5959455978986625e-16,-6.869504964868153e-16,-2.0122792321330972e-16,1.942890293094024e-16,2.220446049250313e-16,-4.163336342344338e-17,-4.2327252813834083e-16,1.5092094240998222e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Connection,-2.2204460492503146e-16,1.2490009027033016e-16,-1.3530843112619105e-16,2.4980018054066027e-16,2.6367796834847463e-16,2.4980018054066037e-16,-1.2490009027033014e-16,2.0122792321330967e-16,1.110223024625157e-16,-1.942890293094024e-16,-3.6082248300317597e-16,6.817463260588854e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gin & Tonic,1.3183898417423744e-16,-1.2490009027033016e-16,2.0816681711721705e-16,5.551115123125785e-17,-3.469446951953614e-16,-1.3877787807814467e-16,-4.857225732735062e-17,3.191891195797326e-16,-1.0104764247564907e-16,-1.7347234759768073e-16,1.9428902930940247e-16,-2.7755575615628926e-17,1.7694179454963442e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gin Fizz,1.9775847626135608e-16,3.33066907387547e-16,2.775557561562893e-17,-8.673617379884035e-17,-4.163336342344335e-17,4.2327252813834113e-16,-2.220446049250313e-16,2.0122792321330962e-16,-4.163336342344338e-17,-5.5511151231257815e-17,0.0,-1.1102230246251565e-16,-3.400058012914543e-16,-1.3877787807814463e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godfather,-1.6653345369377358e-16,-8.326672684688677e-17,-1.249000902703302e-16,8.326672684688677e-17,2.532696274926138e-16,5.551115123125786e-17,-2.376571162088226e-16,-1.0408340855860846e-17,4.440892098500628e-16,-2.3592239273284576e-16,6.175615574477434e-16,-2.081668171172169e-17,-3.261280134836399e-16,-1.1102230246251573e-16,-1.9428902930940244e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard Cooler,3.087807787238718e-16,-2.289834988289386e-16,-1.491862189340055e-16,4.5276282722994675e-16,2.4980018054066017e-16,-4.3715031594615563e-16,7.285838599102591e-17,3.4694469519536147e-16,2.0816681711721693e-16,6.245004513516506e-17,-2.0816681711721688e-16,3.6082248300317592e-16,-3.0531133177191815e-16,-1.2490009027033016e-16,-2.289834988289386e-16,1.8041124150158799e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havana Beach,1.9428902930940247e-16,2.8796409701215003e-16,2.775557561562893e-16,-1.7694179454963432e-16,1.1796119636642283e-16,-2.775557561562893e-16,-1.3877787807814457e-17,-4.163336342344337e-16,-1.2490009027033014e-16,-1.9428902930940235e-16,-1.6653345369377348e-16,-2.7755575615628914e-17,4.891920202254597e-16,2.489328188026719e-16,4.128641872824801e-16,-1.1102230246251568e-16,3.764349942869672e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse’s Neck,1.8735013540549524e-16,1.387778780781446e-17,-1.9428902930940252e-16,1.387778780781446e-16,-4.1633363423443364e-17,3.191891195797327e-16,3.4000580129145424e-16,-6.349087922075115e-16,9.089951014118473e-16,2.220446049250313e-16,8.326672684688675e-17,-2.289834988289386e-16,2.636779683484748e-16,5.551115123125785e-17,-7.632783294297952e-17,-4.857225732735062e-16,-4.544975507059236e-16,-2.0816681711721688e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Fizz,1.700029006457272e-16,2.8449465006019646e-16,2.428612866367532e-16,-2.8796409701215003e-16,-5.5511151231257815e-17,3.0531133177191825e-16,1.0408340855860845e-16,9.714451465470122e-17,-3.6602665343110644e-16,-6.938893903907228e-18,-8.326672684688677e-17,-8.630249292984618e-17,-6.938893903907232e-17,3.469446951953616e-17,-3.6082248300317597e-16,3.469446951953616e-17,-1.0581813203458527e-16,3.3306690738754706e-16,-2.0816681711721693e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,-2.4459601011272995e-16,6.418476861114189e-17,9.367506770274767e-17,6.938893903907231e-17,2.3592239273284576e-16,7.077671781985379e-16,-1.2490009027033016e-16,2.7755575615628926e-17,-1.8388068845354165e-16,9.020562075079398e-17,-3.191891195797326e-16,-2.636779683484748e-16,-4.1633363423443395e-16,1.9428902930940252e-16,2.7755575615628926e-17,-6.245004513516509e-17,-1.942890293094025e-16,4.857225732735062e-16,2.25514051876985e-16,-4.510281037539701e-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Ice Tea,2.0816681711721693e-16,-1.9428902930940242e-16,-1.6653345369377358e-16,1.8041124150158794e-16,-1.8041124150158786e-16,3.1225022567582542e-16,2.498001805406602e-16,-1.1102230246251565e-16,3.1918911957973255e-16,-2.7755575615628907e-17,4.163336342344337e-17,-3.2612801348363973e-16,-2.1510571102112413e-16,2.220446049250314e-16,-1.942890293094024e-16,3.920475055707585e-16,-1.8041124150158796e-16,-1.942890293094024e-16,1.7000290064572712e-16,-2.359223927328458e-16,1.2490009027033016e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mai-Tai,3.4694469519536157e-16,-2.4980018054066027e-16,1.8561541192951848e-16,1.7347234759768073e-16,-2.4980018054066017e-16,2.0816681711721697e-16,-2.9143354396410364e-16,-1.1102230246251568e-16,-1.3010426069826058e-17,-3.400058012914542e-16,1.4571677198205182e-16,4.440892098500627e-16,5.551115123125785e-16,-3.60822483003176e-16,1.1102230246251568e-16,-2.081668171172169e-17,-1.6653345369377353e-16,4.579669976578772e-16,-4.440892098500627e-16,-2.3592239273284586e-16,1.6653345369377356e-16,-3.053113317719181e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,6.938893903907232e-17,1.9081958235744883e-16,2.2551405187698507e-16,2.0122792321330965e-16,-5.273559366969493e-16,4.440892098500629e-16,6.418476861114187e-17,-3.1225022567582534e-17,-3.3306690738754706e-16,0.0,3.504141421473151e-16,2.289834988289386e-16,2.8449465006019646e-16,2.775557561562893e-16,2.775557561562892e-17,2.0816681711721693e-16,-3.1571967262777894e-16,-5.551115123125784e-17,-8.326672684688677e-17,2.688821387764052e-16,8.326672684688678e-17,-5.551115123125784e-17,2.775557561562892e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Margarita,4.163336342344339e-16,2.2204460492503136e-16,-8.32667268468868e-17,-4.1633363423443376e-17,2.9143354396410354e-16,2.6367796834847483e-16,2.0122792321330965e-16,0.0,1.3877787807814462e-16,-3.0531133177191805e-16,-1.3530843112619098e-16,3.8857805861880484e-16,1.110223024625157e-16,-5.273559366969496e-16,-4.579669976578772e-16,1.3877787807814463e-17,-4.649058915617844e-16,-6.591949208711868e-17,5.551115123125784e-17,-4.163336342344338e-17,-3.1225022567582542e-16,-1.9428902930940242e-16,1.2490009027033014e-16,2.2204460492503136e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,
Martini,-2.7755575615628926e-17,1.665334536937735e-16,-2.2204460492503146e-16,-1.5265566588595902e-16,-5.603156827405084e-16,-1.8561541192951843e-16,-2.0122792321330962e-16,-1.942890293094024e-16,8.326672684688677e-17,1.3877787807814454e-17,2.636779683484747e-16,-1.942890293094024e-16,6.93889390390723e-17,-2.0990154059319373e-16,9.71445146547012e-17,-3.3653635433950067e-16,-2.4980018054066027e-16,1.3877787807814457e-17,1.2490009027033014e-16,1.9428902930940244e-16,-2.1163626406917054e-16,4.614364446098307e-16,-7.979727989493314e-17,1.2490009027033014e-16,1.8041124150158796e-16,0.0,,,,,,,,,,,,,,,,,,,,,,
Martini Sweet,1.4224732503009823e-16,4.328135072562134e-16,2.775557561562893e-17,1.205632815803881e-16,1.0234868508263157e-16,-2.70616862252382e-16,-2.7755575615628914e-17,1.6653345369377348e-16,5.551115123125784e-17,-2.0816681711721682e-17,-1.5265566588595902e-16,6.245004513516506e-17,-4.857225732735061e-17,-4.59701721133854e-17,3.8163916471489756e-16,-1.4571677198205182e-16,3.538835890992687e-16,-3.7470027081099033e-16,2.9837243786801087e-16,-1.5265566588595905e-16,2.7755575615628923e-16,-5.273559366969494e-16,-2.359223927328458e-16,4.579669976578772e-16,3.1918911957973255e-16,2.2985086056692694e-16,0.0,,,,,,,,,,,,,,,,,,,,,
Miami Beach,3.747002708109905e-16,-2.7235158572835876e-16,4.1633363423443395e-17,1.8041124150158794e-16,1.5959455978986618e-16,-5.134781488891351e-16,1.3877787807814457e-16,-3.191891195797325e-16,2.6367796834847473e-16,6.800116025829082e-16,5.724587470723463e-16,2.3592239273284576e-16,9.714451465470122e-17,2.0773313624822272e-16,3.0184188481996443e-16,-2.844946500601964e-16,-9.671083378570701e-17,6.418476861114186e-17,2.2551405187698497e-16,-1.5265566588595905e-16,-3.6082248300317597e-16,4.787836793695988e-16,8.326672684688675e-17,-1.8041124150158796e-16,3.469446951953615e-18,-4.111294638065033e-16,-1.5265566588595902e-16,0.0,,,,,,,,,,,,,,,,,,,,
Mockingbird,-2.0816681711721697e-17,-3.3306690738754706e-16,-1.7694179454963447e-16,-2.2551405187698498e-17,5.412337245047637e-16,-2.4980018054066037e-16,-1.0408340855860845e-16,1.9775847626135606e-16,0.0,2.220446049250313e-16,-3.556183125752455e-17,0.0,9.714451465470125e-17,-3.3306690738754716e-16,2.775557561562892e-17,-3.4000580129145434e-16,4.024558464266194e-16,-9.367506770274761e-17,-1.4484941024406344e-16,-8.118505867571461e-16,-1.3877787807814464e-16,3.3653635433950067e-16,-1.5265566588595907e-16,1.3877787807814463e-17,-1.110223024625157e-16,-5.551115123125784e-17,-4.857225732735061e-17,2.081668171172169e-17,0.0,,,,,,,,,,,,,,,,,,,
Mojito,-2.0816681711721694e-17,-4.163336342344338e-17,1.3877787807814467e-16,-4.857225732735061e-16,3.4694469519536136e-17,-5.134781488891352e-16,-6.071532165918826e-17,1.387778780781446e-17,0.0,1.942890293094024e-16,-4.302114220422482e-16,-3.573530360512223e-16,3.6082248300317597e-16,1.4571677198205187e-16,3.4694469519536147e-16,-2.914335439641037e-16,1.9428902930940244e-16,1.3530843112619098e-16,-1.1102230246251568e-16,0.0,-4.163336342344339e-17,4.718447854656916e-16,3.885780586188049e-16,-9.020562075079399e-17,-9.714451465470122e-17,-3.78169717762944e-16,-3.6082248300317592e-16,-8.326672684688675e-17,-2.220446049250314e-16,0.0,,,,,,,,,,,,,,,,,,
Moscow Mule,-1.8041124150158799e-16,-1.2490009027033014e-16,-1.3877787807814466e-17,9.020562075079397e-17,1.7347234759768064e-16,7.285838599102593e-17,3.5735303605122226e-16,2.5326962749261384e-16,-2.775557561562892e-17,2.9837243786801077e-16,-6.245004513516506e-17,-8.326672684688674e-17,2.844946500601964e-16,-2.2898349882893864e-16,-6.591949208711867e-17,2.532696274926139e-16,5.551115123125784e-16,-4.440892098500626e-16,-1.9428902930940242e-16,2.1510571102112413e-16,8.326672684688677e-17,2.7755575615628914e-17,-2.0469737016526326e-16,-2.9143354396410364e-16,4.510281037539699e-17,2.5673907444456745e-16,1.5265566588595902e-16,-5.134781488891349e-16,-2.4980018054066027e-16,-1.2490009027033014e-16,0.0,,,,,,,,,,,,,,,,,
Negroni,1.977584762613561e-16,8.326672684688677e-17,-1.665334536937736e-16,1.7347234759768074e-17,2.359223927328457e-16,-1.3877787807814467e-16,-1.9428902930940244e-16,-1.2143064331837652e-16,-1.4571677198205187e-16,-1.249000902703301e-16,2.289834988289386e-16,-1.179611963664229e-16,-4.857225732735062e-16,-2.4633073358870676e-16,1.2490009027033014e-16,5.100087019371815e-16,1.9428902930940247e-16,1.387778780781446e-16,-9.020562075079399e-17,2.6020852139652116e-16,-2.775557561562893e-16,4.163336342344338e-17,5.551115123125785e-17,-6.522560269672797e-16,-9.714451465470123e-17,-1.5265566588595905e-16,-3.400058012914543e-16,-6.93889390390723e-18,1.110223024625157e-16,5.551115123125785e-17,-3.8163916471489766e-16,0.0,,,,,,,,,,,,,,,,
